Article_Title,Author,Year,Description,Title,Volume,Issue,Pages
Combining FAO-56 model and ground-based remote sensing to estimate water consumptions of wheat crops in a semi-arid region,A Chehbouni,2007,"Agricultural water management 87 (1), 41-54, 2007",Agricultural water management,87,1,41-54
Combining FAO-56 model and ground-based remote sensing to estimate water consumptions of wheat crops in a semi-arid region,N Guemouria,2007,"Agricultural water management 87 (1), 41-54, 2007",Agricultural water management,87,1,41-54
Combining FAO-56 model and ground-based remote sensing to estimate water consumptions of wheat crops in a semi-arid region,B Duchemin,2007,"Agricultural water management 87 (1), 41-54, 2007",Agricultural water management,87,1,41-54
Combining FAO-56 model and ground-based remote sensing to estimate water consumptions of wheat crops in a semi-arid region,J Ezzahar,2007,"Agricultural water management 87 (1), 41-54, 2007",Agricultural water management,87,1,41-54
Combining FAO-56 model and ground-based remote sensing to estimate water consumptions of wheat crops in a semi-arid region,R Hadria,2007,"Agricultural water management 87 (1), 41-54, 2007",Agricultural water management,87,1,41-54
Combining FAO-56 model and ground-based remote sensing to estimate water consumptions of wheat crops in a semi-arid region,salah er-raki,2007,"Agricultural water management 87 (1), 41-54, 2007",Agricultural water management,87,1,41-54
The use of high‐resolution image time series for crop classification and evapotranspiration estimate over an irrigated area in central Morocco,V Simonneaux,2008,"International Journal of Remote Sensing 29 (1), 95-116, 2008",International Journal of Remote Sensing,29,1,95-116
The use of high‐resolution image time series for crop classification and evapotranspiration estimate over an irrigated area in central Morocco,B Duchemin,2008,"International Journal of Remote Sensing 29 (1), 95-116, 2008",International Journal of Remote Sensing,29,1,95-116
The use of high‐resolution image time series for crop classification and evapotranspiration estimate over an irrigated area in central Morocco,D Helson,2008,"International Journal of Remote Sensing 29 (1), 95-116, 2008",International Journal of Remote Sensing,29,1,95-116
The use of high‐resolution image time series for crop classification and evapotranspiration estimate over an irrigated area in central Morocco,S Er‐Raki,2008,"International Journal of Remote Sensing 29 (1), 95-116, 2008",International Journal of Remote Sensing,29,1,95-116
The use of high‐resolution image time series for crop classification and evapotranspiration estimate over an irrigated area in central Morocco,A Olioso,2008,"International Journal of Remote Sensing 29 (1), 95-116, 2008",International Journal of Remote Sensing,29,1,95-116
"Performance assessment of AquaCrop model for estimating evapotranspiration, soil water content and grain yield of winter wheat in Tensift Al Haouz (Morocco): Application to …",J Toumi,2016,"Agricultural Water Management 163, 219-235, 2016",Agricultural Water Management,163,,219-235
"Performance assessment of AquaCrop model for estimating evapotranspiration, soil water content and grain yield of winter wheat in Tensift Al Haouz (Morocco): Application to …",S Er-Raki,2016,"Agricultural Water Management 163, 219-235, 2016",Agricultural Water Management,163,,219-235
"Performance assessment of AquaCrop model for estimating evapotranspiration, soil water content and grain yield of winter wheat in Tensift Al Haouz (Morocco): Application to …",J Ezzahar,2016,"Agricultural Water Management 163, 219-235, 2016",Agricultural Water Management,163,,219-235
"Performance assessment of AquaCrop model for estimating evapotranspiration, soil water content and grain yield of winter wheat in Tensift Al Haouz (Morocco): Application to …",S Khabba,2016,"Agricultural Water Management 163, 219-235, 2016",Agricultural Water Management,163,,219-235
"Performance assessment of AquaCrop model for estimating evapotranspiration, soil water content and grain yield of winter wheat in Tensift Al Haouz (Morocco): Application to …",L Jarlan,2016,"Agricultural Water Management 163, 219-235, 2016",Agricultural Water Management,163,,219-235
"Performance assessment of AquaCrop model for estimating evapotranspiration, soil water content and grain yield of winter wheat in Tensift Al Haouz (Morocco): Application to …",A Chehbouni,2016,"Agricultural Water Management 163, 219-235, 2016",Agricultural Water Management,163,,219-235
"Performance assessment of AquaCrop model for estimating evapotranspiration, soil water content and grain yield of winter wheat in Tensift Al Haouz (Morocco): Application to …",salah er-raki,2016,"Agricultural Water Management 163, 219-235, 2016",Agricultural Water Management,163,,219-235
Retrieving surface soil moisture at high spatio-temporal resolution from a synergy between Sentinel-1 radar and Landsat thermal data: A study case over bare soil,A Amazirh,2018,"Remote sensing of environment 211, 321-337, 2018",Remote sensing of environment,211,,321-337
Retrieving surface soil moisture at high spatio-temporal resolution from a synergy between Sentinel-1 radar and Landsat thermal data: A study case over bare soil,O Merlin,2018,"Remote sensing of environment 211, 321-337, 2018",Remote sensing of environment,211,,321-337
Retrieving surface soil moisture at high spatio-temporal resolution from a synergy between Sentinel-1 radar and Landsat thermal data: A study case over bare soil,S Er-Raki,2018,"Remote sensing of environment 211, 321-337, 2018",Remote sensing of environment,211,,321-337
Retrieving surface soil moisture at high spatio-temporal resolution from a synergy between Sentinel-1 radar and Landsat thermal data: A study case over bare soil,Q Gao,2018,"Remote sensing of environment 211, 321-337, 2018",Remote sensing of environment,211,,321-337
Retrieving surface soil moisture at high spatio-temporal resolution from a synergy between Sentinel-1 radar and Landsat thermal data: A study case over bare soil,V Rivalland,2018,"Remote sensing of environment 211, 321-337, 2018",Remote sensing of environment,211,,321-337
Retrieving surface soil moisture at high spatio-temporal resolution from a synergy between Sentinel-1 radar and Landsat thermal data: A study case over bare soil,Y Malbeteau,2018,"Remote sensing of environment 211, 321-337, 2018",Remote sensing of environment,211,,321-337
Using the dual approach of FAO-56 for partitioning ET into soil and plant components for olive orchards in a semi-arid region,S Er-Raki,2010,"Agricultural water management 97 (11), 1769-1778, 2010",Agricultural water management,97,11,1769-1778
Using the dual approach of FAO-56 for partitioning ET into soil and plant components for olive orchards in a semi-arid region,A Chehbouni,2010,"Agricultural water management 97 (11), 1769-1778, 2010",Agricultural water management,97,11,1769-1778
Using the dual approach of FAO-56 for partitioning ET into soil and plant components for olive orchards in a semi-arid region,G Boulet,2010,"Agricultural water management 97 (11), 1769-1778, 2010",Agricultural water management,97,11,1769-1778
Using the dual approach of FAO-56 for partitioning ET into soil and plant components for olive orchards in a semi-arid region,DG Williams,2010,"Agricultural water management 97 (11), 1769-1778, 2010",Agricultural water management,97,11,1769-1778
Using the dual approach of FAO-56 for partitioning ET into soil and plant components for olive orchards in a semi-arid region,salah er-raki,2010,"Agricultural water management 97 (11), 1769-1778, 2010",Agricultural water management,97,11,1769-1778
An integrated modelling and remote sensing approach for hydrological study in arid and semi‐arid regions: the SUDMED Programme,A Chehbouni,2008,"International Journal of Remote Sensing 29 (17-18), 5161-5181, 2008",International Journal of Remote Sensing,29,17-18,5161-5181
An integrated modelling and remote sensing approach for hydrological study in arid and semi‐arid regions: the SUDMED Programme,R Escadafal,2008,"International Journal of Remote Sensing 29 (17-18), 5161-5181, 2008",International Journal of Remote Sensing,29,17-18,5161-5181
An integrated modelling and remote sensing approach for hydrological study in arid and semi‐arid regions: the SUDMED Programme,B Duchemin,2008,"International Journal of Remote Sensing 29 (17-18), 5161-5181, 2008",International Journal of Remote Sensing,29,17-18,5161-5181
An integrated modelling and remote sensing approach for hydrological study in arid and semi‐arid regions: the SUDMED Programme,G Boulet,2008,"International Journal of Remote Sensing 29 (17-18), 5161-5181, 2008",International Journal of Remote Sensing,29,17-18,5161-5181
An integrated modelling and remote sensing approach for hydrological study in arid and semi‐arid regions: the SUDMED Programme,V Simonneaux,2008,"International Journal of Remote Sensing 29 (17-18), 5161-5181, 2008",International Journal of Remote Sensing,29,17-18,5161-5181
Assessment of reference evapotranspiration methods in semi-arid regions: can weather forecast data be used as alternate of ground meteorological parameters?,S Er-Raki,2010,"Journal of Arid Environments 74 (12), 1587-1596, 2010",Journal of Arid Environments,74,12,1587-1596
Assessment of reference evapotranspiration methods in semi-arid regions: can weather forecast data be used as alternate of ground meteorological parameters?,A Chehbouni,2010,"Journal of Arid Environments 74 (12), 1587-1596, 2010",Journal of Arid Environments,74,12,1587-1596
Assessment of reference evapotranspiration methods in semi-arid regions: can weather forecast data be used as alternate of ground meteorological parameters?,S Khabba,2010,"Journal of Arid Environments 74 (12), 1587-1596, 2010",Journal of Arid Environments,74,12,1587-1596
Assessment of reference evapotranspiration methods in semi-arid regions: can weather forecast data be used as alternate of ground meteorological parameters?,V Simonneaux,2010,"Journal of Arid Environments 74 (12), 1587-1596, 2010",Journal of Arid Environments,74,12,1587-1596
Assessment of reference evapotranspiration methods in semi-arid regions: can weather forecast data be used as alternate of ground meteorological parameters?,L Jarlan,2010,"Journal of Arid Environments 74 (12), 1587-1596, 2010",Journal of Arid Environments,74,12,1587-1596
Assessment of reference evapotranspiration methods in semi-arid regions: can weather forecast data be used as alternate of ground meteorological parameters?,A Ouldbba,2010,"Journal of Arid Environments 74 (12), 1587-1596, 2010",Journal of Arid Environments,74,12,1587-1596
Combining satellite remote sensing data with the FAO-56 dual approach for water use mapping in irrigated wheat fields of a semi-arid region,S Er-Raki,2010,"Remote Sensing 2 (1), 375-387, 2010",Remote Sensing,2,1,375-387
Combining satellite remote sensing data with the FAO-56 dual approach for water use mapping in irrigated wheat fields of a semi-arid region,A Chehbouni,2010,"Remote Sensing 2 (1), 375-387, 2010",Remote Sensing,2,1,375-387
Combining satellite remote sensing data with the FAO-56 dual approach for water use mapping in irrigated wheat fields of a semi-arid region,B Duchemin,2010,"Remote Sensing 2 (1), 375-387, 2010",Remote Sensing,2,1,375-387
Combining satellite remote sensing data with the FAO-56 dual approach for water use mapping in irrigated wheat fields of a semi-arid region,salah er-raki,2010,"Remote Sensing 2 (1), 375-387, 2010",Remote Sensing,2,1,375-387
Water use efficiency and yield of winter wheat under different irrigation regimes in a semi-arid region,MH Kharrou,2011,"Agricultural Sciences in China 2 (03), 273-282, 2011",Agricultural Sciences in China,2,03,273-282
Water use efficiency and yield of winter wheat under different irrigation regimes in a semi-arid region,S Er-Raki,2011,"Agricultural Sciences in China 2 (03), 273-282, 2011",Agricultural Sciences in China,2,03,273-282
Water use efficiency and yield of winter wheat under different irrigation regimes in a semi-arid region,A Chehbouni,2011,"Agricultural Sciences in China 2 (03), 273-282, 2011",Agricultural Sciences in China,2,03,273-282
Water use efficiency and yield of winter wheat under different irrigation regimes in a semi-arid region,B Duchemin,2011,"Agricultural Sciences in China 2 (03), 273-282, 2011",Agricultural Sciences in China,2,03,273-282
Water use efficiency and yield of winter wheat under different irrigation regimes in a semi-arid region,V Simonneaux,2011,"Agricultural Sciences in China 2 (03), 273-282, 2011",Agricultural Sciences in China,2,03,273-282
Intercomparison of four remote-sensing-based energy balance methods to retrieve surface evapotranspiration and water stress of irrigated fields in semi-arid climate,J Chirouze,2014,"Hydrology and earth system sciences 18 (3), 1165-1188, 2014",Hydrology and earth system sciences,18,3,1165-1188
Intercomparison of four remote-sensing-based energy balance methods to retrieve surface evapotranspiration and water stress of irrigated fields in semi-arid climate,G Boulet,2014,"Hydrology and earth system sciences 18 (3), 1165-1188, 2014",Hydrology and earth system sciences,18,3,1165-1188
Intercomparison of four remote-sensing-based energy balance methods to retrieve surface evapotranspiration and water stress of irrigated fields in semi-arid climate,L Jarlan,2014,"Hydrology and earth system sciences 18 (3), 1165-1188, 2014",Hydrology and earth system sciences,18,3,1165-1188
Intercomparison of four remote-sensing-based energy balance methods to retrieve surface evapotranspiration and water stress of irrigated fields in semi-arid climate,R Fieuzal,2014,"Hydrology and earth system sciences 18 (3), 1165-1188, 2014",Hydrology and earth system sciences,18,3,1165-1188
Intercomparison of four remote-sensing-based energy balance methods to retrieve surface evapotranspiration and water stress of irrigated fields in semi-arid climate,JC Rodriguez,2014,"Hydrology and earth system sciences 18 (3), 1165-1188, 2014",Hydrology and earth system sciences,18,3,1165-1188
Intercomparison of four remote-sensing-based energy balance methods to retrieve surface evapotranspiration and water stress of irrigated fields in semi-arid climate,J Ezzahar,2014,"Hydrology and earth system sciences 18 (3), 1165-1188, 2014",Hydrology and earth system sciences,18,3,1165-1188
Improvement of FAO-56 method for olive orchards through sequential assimilation of thermal infrared-based estimates of ET,S Er-Raki,2008,"Agricultural Water Management 95 (3), 309-321, 2008",Agricultural Water Management,95,3,309-321
Improvement of FAO-56 method for olive orchards through sequential assimilation of thermal infrared-based estimates of ET,A Chehbouni,2008,"Agricultural Water Management 95 (3), 309-321, 2008",Agricultural Water Management,95,3,309-321
Improvement of FAO-56 method for olive orchards through sequential assimilation of thermal infrared-based estimates of ET,J Hoedjes,2008,"Agricultural Water Management 95 (3), 309-321, 2008",Agricultural Water Management,95,3,309-321
Improvement of FAO-56 method for olive orchards through sequential assimilation of thermal infrared-based estimates of ET,J Ezzahar,2008,"Agricultural Water Management 95 (3), 309-321, 2008",Agricultural Water Management,95,3,309-321
Improvement of FAO-56 method for olive orchards through sequential assimilation of thermal infrared-based estimates of ET,B Duchemin,2008,"Agricultural Water Management 95 (3), 309-321, 2008",Agricultural Water Management,95,3,309-321
Improvement of FAO-56 method for olive orchards through sequential assimilation of thermal infrared-based estimates of ET,F Jacob,2008,"Agricultural Water Management 95 (3), 309-321, 2008",Agricultural Water Management,95,3,309-321
Improvement of FAO-56 method for olive orchards through sequential assimilation of thermal infrared-based estimates of ET,salah er-raki,2008,"Agricultural Water Management 95 (3), 309-321, 2008",Agricultural Water Management,95,3,309-321
The use of the scintillation technique for monitoring seasonal water consumption of olive orchards in a semi-arid region,J Ezzahar,2007,"Agricultural Water Management 89 (3), 173-184, 2007",Agricultural Water Management,89,3,173-184
The use of the scintillation technique for monitoring seasonal water consumption of olive orchards in a semi-arid region,A Chehbouni,2007,"Agricultural Water Management 89 (3), 173-184, 2007",Agricultural Water Management,89,3,173-184
The use of the scintillation technique for monitoring seasonal water consumption of olive orchards in a semi-arid region,JCB Hoedjes,2007,"Agricultural Water Management 89 (3), 173-184, 2007",Agricultural Water Management,89,3,173-184
The use of the scintillation technique for monitoring seasonal water consumption of olive orchards in a semi-arid region,S Er-Raki,2007,"Agricultural Water Management 89 (3), 173-184, 2007",Agricultural Water Management,89,3,173-184
The use of the scintillation technique for monitoring seasonal water consumption of olive orchards in a semi-arid region,A Chehbouni,2007,"Agricultural Water Management 89 (3), 173-184, 2007",Agricultural Water Management,89,3,173-184
The use of the scintillation technique for monitoring seasonal water consumption of olive orchards in a semi-arid region,G Boulet,2007,"Agricultural Water Management 89 (3), 173-184, 2007",Agricultural Water Management,89,3,173-184
Assessing the impact of global climate changes on irrigated wheat yields and water requirements in a semi-arid environment of Morocco,E Bouras,2019,"Scientific reports 9 (1), 19142, 2019",Scientific reports,9,1,19142
Assessing the impact of global climate changes on irrigated wheat yields and water requirements in a semi-arid environment of Morocco,L Jarlan,2019,"Scientific reports 9 (1), 19142, 2019",Scientific reports,9,1,19142
Assessing the impact of global climate changes on irrigated wheat yields and water requirements in a semi-arid environment of Morocco,S Khabba,2019,"Scientific reports 9 (1), 19142, 2019",Scientific reports,9,1,19142
Assessing the impact of global climate changes on irrigated wheat yields and water requirements in a semi-arid environment of Morocco,S Er-Raki,2019,"Scientific reports 9 (1), 19142, 2019",Scientific reports,9,1,19142
Assessing the impact of global climate changes on irrigated wheat yields and water requirements in a semi-arid environment of Morocco,A Dezetter,2019,"Scientific reports 9 (1), 19142, 2019",Scientific reports,9,1,19142
Assessing the impact of global climate changes on irrigated wheat yields and water requirements in a semi-arid environment of Morocco,F Sghir,2019,"Scientific reports 9 (1), 19142, 2019",Scientific reports,9,1,19142
Assessing the impact of global climate changes on irrigated wheat yields and water requirements in a semi-arid environment of Morocco,Y Tramblay,2019,"Scientific reports 9 (1), 19142, 2019",Scientific reports,9,1,19142
Assessing the impact of global climate changes on irrigated wheat yields and water requirements in a semi-arid environment of Morocco,salah er-raki,2019,"Scientific reports 9 (1), 19142, 2019",Scientific reports,9,1,19142
Remote sensing of water resources in semi-arid Mediterranean areas: The joint international laboratory TREMA,L Jarlan,2015,"International Journal of Remote Sensing 36 (19-20), 4879-4917, 2015",International Journal of Remote Sensing,36,19-20,4879-4917
Remote sensing of water resources in semi-arid Mediterranean areas: The joint international laboratory TREMA,S Khabba,2015,"International Journal of Remote Sensing 36 (19-20), 4879-4917, 2015",International Journal of Remote Sensing,36,19-20,4879-4917
Remote sensing of water resources in semi-arid Mediterranean areas: The joint international laboratory TREMA,S Er-Raki,2015,"International Journal of Remote Sensing 36 (19-20), 4879-4917, 2015",International Journal of Remote Sensing,36,19-20,4879-4917
Remote sensing of water resources in semi-arid Mediterranean areas: The joint international laboratory TREMA,M Le Page,2015,"International Journal of Remote Sensing 36 (19-20), 4879-4917, 2015",International Journal of Remote Sensing,36,19-20,4879-4917
Remote sensing of water resources in semi-arid Mediterranean areas: The joint international laboratory TREMA,L Hanich,2015,"International Journal of Remote Sensing 36 (19-20), 4879-4917, 2015",International Journal of Remote Sensing,36,19-20,4879-4917
Remote sensing of water resources in semi-arid Mediterranean areas: The joint international laboratory TREMA,Y Fakir,2015,"International Journal of Remote Sensing 36 (19-20), 4879-4917, 2015",International Journal of Remote Sensing,36,19-20,4879-4917
Remote sensing of water resources in semi-arid Mediterranean areas: The joint international laboratory TREMA,O Merlin,2015,"International Journal of Remote Sensing 36 (19-20), 4879-4917, 2015",International Journal of Remote Sensing,36,19-20,4879-4917
Performance metrics for soil moisture downscaling methods: Application to DISPATCH data in central Morocco,O Merlin,2015,"Remote sensing 7 (4), 3783-3807, 2015",Remote sensing,7,4,3783-3807
Performance metrics for soil moisture downscaling methods: Application to DISPATCH data in central Morocco,Y Malbéteau,2015,"Remote sensing 7 (4), 3783-3807, 2015",Remote sensing,7,4,3783-3807
Performance metrics for soil moisture downscaling methods: Application to DISPATCH data in central Morocco,Y Notfi,2015,"Remote sensing 7 (4), 3783-3807, 2015",Remote sensing,7,4,3783-3807
Performance metrics for soil moisture downscaling methods: Application to DISPATCH data in central Morocco,S Bacon,2015,"Remote sensing 7 (4), 3783-3807, 2015",Remote sensing,7,4,3783-3807
Performance metrics for soil moisture downscaling methods: Application to DISPATCH data in central Morocco,S Er-Raki,2015,"Remote sensing 7 (4), 3783-3807, 2015",Remote sensing,7,4,3783-3807
Performance metrics for soil moisture downscaling methods: Application to DISPATCH data in central Morocco,S Khabba,2015,"Remote sensing 7 (4), 3783-3807, 2015",Remote sensing,7,4,3783-3807
Performance metrics for soil moisture downscaling methods: Application to DISPATCH data in central Morocco,L Jarlan,2015,"Remote sensing 7 (4), 3783-3807, 2015",Remote sensing,7,4,3783-3807
Performance metrics for soil moisture downscaling methods: Application to DISPATCH data in central Morocco,salah er-raki,2015,"Remote sensing 7 (4), 3783-3807, 2015",Remote sensing,7,4,3783-3807
Determination of crop evapotranspiration of table grapes in a semi-arid region of Northwest Mexico using multi-spectral vegetation index,S Er-Raki,2013,"Agricultural water management 122, 12-19, 2013",Agricultural water management,122,,12-19
Determination of crop evapotranspiration of table grapes in a semi-arid region of Northwest Mexico using multi-spectral vegetation index,JC Rodriguez,2013,"Agricultural water management 122, 12-19, 2013",Agricultural water management,122,,12-19
Determination of crop evapotranspiration of table grapes in a semi-arid region of Northwest Mexico using multi-spectral vegetation index,J Garatuza-Payan,2013,"Agricultural water management 122, 12-19, 2013",Agricultural water management,122,,12-19
Determination of crop evapotranspiration of table grapes in a semi-arid region of Northwest Mexico using multi-spectral vegetation index,CJ Watts,2013,"Agricultural water management 122, 12-19, 2013",Agricultural water management,122,,12-19
Determination of crop evapotranspiration of table grapes in a semi-arid region of Northwest Mexico using multi-spectral vegetation index,A Chehbouni,2013,"Agricultural water management 122, 12-19, 2013",Agricultural water management,122,,12-19
Determination of crop evapotranspiration of table grapes in a semi-arid region of Northwest Mexico using multi-spectral vegetation index,salah er-raki,2013,"Agricultural water management 122, 12-19, 2013",Agricultural water management,122,,12-19
Evaluation of backscattering models and support vector machine for the retrieval of bare soil moisture from Sentinel-1 data,J Ezzahar,2019,"Remote Sensing 12 (1), 72, 2019",Remote Sensing,12,1,72
Evaluation of backscattering models and support vector machine for the retrieval of bare soil moisture from Sentinel-1 data,N Ouaadi,2019,"Remote Sensing 12 (1), 72, 2019",Remote Sensing,12,1,72
Evaluation of backscattering models and support vector machine for the retrieval of bare soil moisture from Sentinel-1 data,M Zribi,2019,"Remote Sensing 12 (1), 72, 2019",Remote Sensing,12,1,72
Evaluation of backscattering models and support vector machine for the retrieval of bare soil moisture from Sentinel-1 data,J Elfarkh,2019,"Remote Sensing 12 (1), 72, 2019",Remote Sensing,12,1,72
Evaluation of backscattering models and support vector machine for the retrieval of bare soil moisture from Sentinel-1 data,G Aouade,2019,"Remote Sensing 12 (1), 72, 2019",Remote Sensing,12,1,72
Evaluation of backscattering models and support vector machine for the retrieval of bare soil moisture from Sentinel-1 data,S Khabba,2019,"Remote Sensing 12 (1), 72, 2019",Remote Sensing,12,1,72
Evaluation of backscattering models and support vector machine for the retrieval of bare soil moisture from Sentinel-1 data,S Er-Raki,2019,"Remote Sensing 12 (1), 72, 2019",Remote Sensing,12,1,72
Modeling soil evaporation efficiency in a range of soil and atmospheric conditions using a meta‐analysis approach,O Merlin,2016,"Water Resources Research 52 (5), 3663-3684, 2016",Water Resources Research,52,5,3663-3684
Modeling soil evaporation efficiency in a range of soil and atmospheric conditions using a meta‐analysis approach,VG Stefan,2016,"Water Resources Research 52 (5), 3663-3684, 2016",Water Resources Research,52,5,3663-3684
Modeling soil evaporation efficiency in a range of soil and atmospheric conditions using a meta‐analysis approach,A Amazirh,2016,"Water Resources Research 52 (5), 3663-3684, 2016",Water Resources Research,52,5,3663-3684
Modeling soil evaporation efficiency in a range of soil and atmospheric conditions using a meta‐analysis approach,A Chanzy,2016,"Water Resources Research 52 (5), 3663-3684, 2016",Water Resources Research,52,5,3663-3684
Modeling soil evaporation efficiency in a range of soil and atmospheric conditions using a meta‐analysis approach,E Ceschia,2016,"Water Resources Research 52 (5), 3663-3684, 2016",Water Resources Research,52,5,3663-3684
Modeling soil evaporation efficiency in a range of soil and atmospheric conditions using a meta‐analysis approach,S Er‐Raki,2016,"Water Resources Research 52 (5), 3663-3684, 2016",Water Resources Research,52,5,3663-3684
Preparation and characterization of pyrolytic spray deposited electrochromic tungsten trioxide films,M Regragui,2000,"Thin solid films 358 (1-2), 40-45, 2000",Thin solid films,358,1-2,40-45
Preparation and characterization of pyrolytic spray deposited electrochromic tungsten trioxide films,M Addou,2000,"Thin solid films 358 (1-2), 40-45, 2000",Thin solid films,358,1-2,40-45
Preparation and characterization of pyrolytic spray deposited electrochromic tungsten trioxide films,A Outzourhit,2000,"Thin solid films 358 (1-2), 40-45, 2000",Thin solid films,358,1-2,40-45
Preparation and characterization of pyrolytic spray deposited electrochromic tungsten trioxide films,JC Bernede,2000,"Thin solid films 358 (1-2), 40-45, 2000",Thin solid films,358,1-2,40-45
Preparation and characterization of pyrolytic spray deposited electrochromic tungsten trioxide films,E El Idrissi,2000,"Thin solid films 358 (1-2), 40-45, 2000",Thin solid films,358,1-2,40-45
Pyrolysis of the Moroccan (Tarfaya) oil shales under microwave irradiation,A Mokhlisse,2000,"Fuel 79 (7), 733-742, 2000",Fuel,79,7,733-742
Pyrolysis of the Moroccan (Tarfaya) oil shales under microwave irradiation,MB Chanâa,2000,"Fuel 79 (7), 733-742, 2000",Fuel,79,7,733-742
Pyrolysis of the Moroccan (Tarfaya) oil shales under microwave irradiation,A Outzourhit,2000,"Fuel 79 (7), 733-742, 2000",Fuel,79,7,733-742
Pyrolysis of the Moroccan (Tarfaya) oil shales under microwave irradiation,Abdelkader Outzourhit,2000,"Fuel 79 (7), 733-742, 2000",Fuel,79,7,733-742
Corrosion inhibition of Armco iron by 2-mercaptobenzimidazole in sodium chloride 3% media,H Amar,2007,"Corrosion Science 49 (7), 2936-2945, 2007",Corrosion Science,49,7,2936-2945
Corrosion inhibition of Armco iron by 2-mercaptobenzimidazole in sodium chloride 3% media,A Tounsi,2007,"Corrosion Science 49 (7), 2936-2945, 2007",Corrosion Science,49,7,2936-2945
Corrosion inhibition of Armco iron by 2-mercaptobenzimidazole in sodium chloride 3% media,A Makayssi,2007,"Corrosion Science 49 (7), 2936-2945, 2007",Corrosion Science,49,7,2936-2945
Corrosion inhibition of Armco iron by 2-mercaptobenzimidazole in sodium chloride 3% media,A Derja,2007,"Corrosion Science 49 (7), 2936-2945, 2007",Corrosion Science,49,7,2936-2945
Corrosion inhibition of Armco iron by 2-mercaptobenzimidazole in sodium chloride 3% media,J Benzakour,2007,"Corrosion Science 49 (7), 2936-2945, 2007",Corrosion Science,49,7,2936-2945
Corrosion inhibition of Armco iron by 2-mercaptobenzimidazole in sodium chloride 3% media,A Outzourhit,2007,"Corrosion Science 49 (7), 2936-2945, 2007",Corrosion Science,49,7,2936-2945
Corrosion inhibition of Armco iron by 2-mercaptobenzimidazole in sodium chloride 3% media,Abdelkader Outzourhit,2007,"Corrosion Science 49 (7), 2936-2945, 2007",Corrosion Science,49,7,2936-2945
Electrochromism in sputtered V2O5 thin films: structural and optical studies,M Benmoussa,2002,"Thin Solid Films 405 (1-2), 11-16, 2002",Thin Solid Films,405,1-2,11-16
Electrochromism in sputtered V2O5 thin films: structural and optical studies,A Outzourhit,2002,"Thin Solid Films 405 (1-2), 11-16, 2002",Thin Solid Films,405,1-2,11-16
Electrochromism in sputtered V2O5 thin films: structural and optical studies,A Bennouna,2002,"Thin Solid Films 405 (1-2), 11-16, 2002",Thin Solid Films,405,1-2,11-16
Electrochromism in sputtered V2O5 thin films: structural and optical studies,EL Ameziane,2002,"Thin Solid Films 405 (1-2), 11-16, 2002",Thin Solid Films,405,1-2,11-16
